id,unitName,unitType,themeSongRes,member0,member1,member2,member3,member4,#member0,#member1,#member2,#member3,#member4
29,레드 발라드 eq,initialcostume,,7,44,60,,,쿠로카와 치아키,아이카와 치나츠,토고 아이,,
30,가짜라이카,special,,39,23,,,,아나스타샤,코히나타 미호,,,
31,프릴드 스퀘어 SP,friendship,,11,34,57,65,1,쿠도 시노부,아야세 호노카,키타미 유즈,모모이 아즈키,시마무라 우즈키
32,아냥 미쿠냥,special,,13,39,,,,마에카와 미쿠,아나스타샤,,,
33,사일런트 스크리머즈,special,,20,45,,,,모리쿠보 노노,호시 쇼코,,,
34,해피해피 트윈☆,special,,21,46,,,,모로보시 키라리,후타바 안즈,,,
35,패밀리어 트윈,special,,22,19,,,,죠가사키 미카,죠가사키 리카,,,
36,카나☆카나☆팬시,dreamlivefestival,,5,61,,,,미무라 카나코,이마이 카나,,,
37,샤이닝 갓 체리,special,,31,45,40,,,카미야 나오,호시 쇼코,오가타 치에리,,
38,리틀 프렌즈,special,,8,17,62,,,류자키 카오루,사사키 치에,야나세 미유키,,
39,록킹 걸,special,,5,19,42,,,미무라 카나코,죠가사키 리카,타다 리이나,,
40,경정소녀,special,,21,40,31,,,모로보시 키라리,오가타 치에리,카미야 나오,,
41,리틀 앤젤스,special,,40,67,12,,,오가타 치에리,칸자키 란코,코시미즈 사치코,,
42,임시 라이카,special,,39,67,,,,아나스타샤,칸자키 란코,,,
43,월야의 가희,special,,16,2,58,,,사쿠마 마유,시부야 린,호리 유코,,
44,유카타축제13's,special,,6,25,37,,,마츠모토 사리나,모치다 아리사,오이카와 시즈쿠,,
45,슬리핑 버섯 with 우즈키,special,,1,46,45,,,시마무라 우즈키,후타바 안즈,호시 쇼코,,
46,트라이어드 프리무스 -N.R-,friendship,,2,31,,,,시부야 린,카미야 나오,,,
47,여름색 아가씨,special,,59,23,,,,코바야카와 사에,코히나타 미호,,,
48,조직의 광견,special,,15,45,,,,하야사카 미레이,호시 쇼코,,,
49,미복의 공주,special,,60,23,,,,토고 아이,코히나타 미호,,,
50,수증기 소녀,special,,16,58,,,,사쿠마 마유,호리 유코,,,
51,귀구부의 소녀들,special,,26,45,46,,,아라키 히나,호시 쇼코,후타바 안즈,,
52,고양이 눈 세자매,special,,13,34,50,,,마에카와 미쿠,아야세 호노카,타카하시 레이코,,
53,모리쿠보 가문의 사람들,special,,25,20,,,,모치다 아리사,모리쿠보 노노,,,
54,섹시 경장 사나에&꼬마 순경 카오루,special,,8,14,,,,류자키 카오루,카타기리 사나에,,,
55,마그나 위치즈,special,,23,56,,,,코히나타 미호,타카모리 아이코,,,
56,스몰하트 트릭스터,special,,20,17,,,,모리쿠보 노노,사사키 치에,,,
57,해피해피 데몬 트윈&타천마왕 란코,special,,21,67,46,,,모로보시 키라리,칸자키 란코,후타바 안즈,,
58,흡혈백작과 공작부인,special,,25,45,,,,모치다 아리사,호시 쇼코,,,
59,록 더 비트,special,,9,42,,,,키무라 나츠키,타다 리이나,,,
60,신데렐라 드림 Ver.1,special,,5,41,42,,,미무라 카나코,아카기 미리아,타다 리이나,,
61,스노우 페어리즈,special,,35,39,,,,시라사카 코우메,아나스타샤,,,
62,홀리 프레젠트,special,,63,12,23,,,카와시마 미즈키,코시미즈 사치코,코히나타 미호,,
63,발렌타인 1st,special,,17,48,56,,,사사키 치에,시이나 노리코,타카모리 아이코,,
64,over the blue,special,,18,39,63,,,닛타 미나미,아나스타샤,카와시마 미즈키,,
65,397cherry,special,,13,68,40,,,마에카와 미쿠,아베 나나,오가타 치에리,,
66,*(아스테리스크) with 나츠나나,special,,13,42,68,9,,마에카와 미쿠,타다 리이나,아베 나나,키무라 나츠키,
67,대접하는 메이드,special,,59,15,,,,코바야카와 사에,하야사카 미레이,,,
68,MYSTIQUES,special,,35,58,,,,시라사카 코우메,호리 유코,,,
69,Jumpin'Joke,special,,35,41,,,,시라사카 코우메,아카기 미리아,,,
70,리카와 코우메의 파티 프렌즈,special,,35,19,,,,시라사카 코우메,죠가사키 리카,,,
71,크리스마스 메모리즈,special,,68,56,54,,,아베 나나,타카모리 아이코,호죠 카렌,,
72,팜므 파탈 듀오,special,,44,50,,,,아이카와 치나츠,타카하시 레이코,,,
73,벚꽃축제's,special,,8,65,60,,,류자키 카오루,모모이 아즈키,토고 아이,,
74,하이칼라 벚꽃,special,,18,13,46,,,닛타 미나미,마에카와 미쿠,후타바 안즈,,
75,미오&리이나 from C.P,special,,42,3,,,,타다 리이나,혼다 미오,,,
76,란코&치에리 from 브라이덜,special,,40,67,,,,오가타 치에리,칸자키 란코,,,
77,신데렐라 드림 Ver.2,special,,5,18,56,,,미무라 카나코,닛타 미나미,타카모리 아이코,,
78,신데렐라 드림 Ver.3,special,,18,13,56,,,닛타 미나미,마에카와 미쿠,타카모리 아이코,,
79,신데렐라 드림 Ver.5,special,,18,59,56,,,닛타 미나미,코바야카와 사에,타카모리 아이코,,
80,신데렐라 드림 Ver.6,special,,18,5,42,,,닛타 미나미,미무라 카나코,타다 리이나,,
81,나오&카렌 from 브라이덜,special,,31,54,,,,카미야 나오,호죠 카렌,,,
82,마시멜로 애슬리트,special,,5,43,,,,미무라 카나코,히메카와 유키,,,
83,해피해피☆2DAYS 버스데이,special,,6,21,46,,,마츠모토 사리나,모로보시 키라리,후타바 안즈,,
84,LOVE LAIKA with Rosenburg Engel,special,,18,39,67,,,닛타 미나미,아나스타샤,칸자키 란코,,
85,록 더 비트 with 우사밍,special,,68,9,42,,,아베 나나,키무라 나츠키,타다 리이나,,
86,신데렐라 드림 Ver.7,special,,13,35,41,,,마에카와 미쿠,시라사카 코우메,아카기 미리아,,
87,신데렐라 드림 Ver.8.1,special,,33,18,,,,히노 아카네,닛타 미나미,,,
88,신데렐라 드림 Ver.8.3,special,,33,56,,,,히노 아카네,타카모리 아이코,,,
89,신데렐라 드림 Ver.8.4,special,,33,59,,,,히노 아카네,코바야카와 사에,,,
90,신데렐라 드림 Ver.8.5,special,,33,41,,,,히노 아카네,아카기 미리아,,,
91,신데렐라 드림 Ver.8.6,special,,33,5,,,,히노 아카네,미무라 카나코,,,
92,신데렐라 드림 Ver.8.7,special,,33,42,,,,히노 아카네,타다 리이나,,,
93,신데렐라 드림 Ver.8.8,special,,33,35,,,,히노 아카네,시라사카 코우메,,,
94,"어른 여자, 이렇게 말하다",special,,63,50,,,,카와시마 미즈키,타카하시 레이코,,,
95,snow glasses,special,,52,49,,,,오오츠키 유이,카미죠 하루나,,,
96,퍼니 데빌 ,special,,18,41,12,,,닛타 미나미,아카기 미리아,코시미즈 사치코,,
97,미카와 카렌의 우즈키를 귀엽게 하고싶은 부대,special,,1,22,54,,,시마무라 우즈키,죠가사키 미카,호죠 카렌,,
98,로얄 섬머 치아키・요코,special,,30,7,,,,사이토 요코,쿠로카와 치아키,,,
99,에이스 미즈키와 조력자 아카네,special,,63,33,,,,카와시마 미즈키,히노 아카네,,,
100,리카・린・미쿠(출장중),special,,13,2,19,,,마에카와 미쿠,시부야 린,죠가사키 리카,,
101,사이킥 히츠,special,,58,33,,,,호리 유코,히노 아카네,,,
102,나나&미쿠 from PM,special,,13,68,,,,마에카와 미쿠,아베 나나,,,
103,미즈키 from PM &사치코,special,,63,12,,,,카와시마 미즈키,코시미즈 사치코,,,
104,사에&마유 from PM,special,,59,16,,,,코바야카와 사에,사쿠마 마유,,,
105,쇼코&유코 from PM,special,,58,45,,,,호리 유코,호시 쇼코,,,
106,아이코&미오 from PM,special,,56,3,,,,타카모리 아이코,혼다 미오,,,
107,치에리&우즈키 from PM,special,,40,1,,,,오가타 치에리,시마무라 우즈키,,,
108,북국의 동물원,special,,44,37,,,,아이카와 치나츠,오이카와 시즈쿠,,,
109,신춘 게스트 미호&나나,special,,68,23,,,,아베 나나,코히나타 미호,,,
110,WtF 미리아&코우메&리카,special,,35,41,19,,,시라사카 코우메,아카기 미리아,죠가사키 리카,,
111,로얄 듀오,special,,63,14,,,,카와시마 미즈키,카타기리 사나에,,,
112,NiGHT ENCOUNTER,special,,35,45,,,,시라사카 코우메,호시 쇼코,,,
113,Happy 7.27,special,,18,13,46,,,닛타 미나미,마에카와 미쿠,후타바 안즈,,
114,귀여운 나와 큐티 산타,special,,47,12,23,,,이가라시 쿄코,코시미즈 사치코,코히나타 미호,,
115,하드 코어☆업,special,,9,45,,,,키무라 나츠키,호시 쇼코,,,
